listing_url,name,host_id,host_name,neighbourhood,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,license,host_lcount
https://www.airbnb.com/rooms/7691488,Cozy and clean Room,17968917,Eva Y Gloria,Latina,40.40918,-3.73434,Private room in rental unit,Private room,1,23,1,35,False,2
https://www.airbnb.com/rooms/8127341,Piso de diseño - Centro de Madrid-,42917712,Adriana,Moncloa - Aravaca,40.4284,-3.71872,Entire rental unit,Entire home/apt,4,264,2,14,False,1
https://www.airbnb.com/rooms/7692443,Habitación en Alberto Aguilera,40399486,Campus,Centro,40.42861,-3.7087,Private room in rental unit,Private room,1,28,1,0,False,1
https://www.airbnb.com/rooms/7695434,Room in a nice flat and an excellent location,6818751,Conrado,Centro,40.41525,-3.70994,Private room in rental unit,Private room,1,22,3,73,False,3
https://www.airbnb.com/rooms/7695494,Double Room Next to Plaza Mayor,6818751,Conrado,Centro,40.41558,-3.71024,Private room in rental unit,Private room,2,25,2,15,False,3
https://www.airbnb.com/rooms/7701586,"WOOD, MARBLE AND BRICK",17443242,Rodrigo,Centro,40.40915,-3.70134,Entire loft,Entire home/apt,6,70,2,438,True,4
https://www.airbnb.com/rooms/8128423,Habitación privada muy tranquila,42574276,Esther,Ciudad Lineal,40.43386,-3.65003,Private room in rental unit,Private room,1,25,2,89,False,2
https://www.airbnb.com/rooms/8137242,"ROOM WITHOUT CONTACT WITH HOST,TOTALLY INDEPENDENT",200731,Jaime,Centro,40.41053,-3.70298,Private room in rental unit,Private room,2,56,1,289,False,1
https://www.airbnb.com/rooms/7701883,Apartment two travellers or couples,40458219,Luis,Centro,40.41003,-3.69848,Entire rental unit,Entire home/apt,2,60,3,277,False,1
https://www.airbnb.com/rooms/8140604,Luxury and  silent Flat,4780240,Julia,Salamanca,40.43379246073805,-3.680505765195719,Entire rental unit,Entire home/apt,5,300,1,0,False,1
https://www.airbnb.com/rooms/8331406,"CASA AMPLIA LUMINOSA Y CENTRICA LICENCIA VT1001,",43919337,Ruth Y Sarai,Centro,40.42133,-3.698,Entire home,Entire home/apt,4,144,30,102,True,2
https://www.airbnb.com/rooms/8143880,acogedor piso zona arguelles,42484564,Paola,Chamberí,40.43404,-3.71416,Private room in rental unit,Private room,1,16,1,80,False,2
https://www.airbnb.com/rooms/8147896,"Chamartin and Plaza de Castilla 4, Apartment",11340614,Pedro,Chamartín,40.47053,-3.68546,Entire rental unit,Entire home/apt,3,70,7,173,True,4
https://www.airbnb.com/rooms/8337884,Habitación exterior junto catedral,18134739,Angel,Arganzuela,40.41353,-3.72023,Private room in rental unit,Private room,1,20,2,19,False,2
https://www.airbnb.com/rooms/8155821,Amazing Loft in Huertas Street with 2 bathroom!,17784363,Maria Eugenia,Centro,40.4121,-3.69577,Entire loft,Entire home/apt,3,130,5,95,True,1
https://www.airbnb.com/rooms/8345256,Awsome space  in the downtown.,43988161,Roberto,Centro,40.42074,-3.69787,Entire rental unit,Entire home/apt,4,2393,2,48,False,1
https://www.airbnb.com/rooms/8158709,Charming apartment in Opera Square,2864064,Oscar Vanessa Mica Y Carlos,Centro,40.42101,-3.71032,Entire loft,Entire home/apt,4,102,1,214,False,19
